'sample interval','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG'
366,-0.000,0.001,0.004,0.010,0.015,0.015,0.011,0.008,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.009,-0.005,-0.006,-0.005,0.007,0.031,0.026,0.014,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
367,-0.000,0.001,0.004,0.010,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.025,0.022,0.014,0.009,-0.005,-0.006,-0.005,0.007,0.031,0.026,0.014,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
368,-0.000,0.001,0.004,0.011,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.026,0.022,0.014,0.009,-0.005,-0.006,-0.006,0.007,0.031,0.026,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
369,-0.000,0.001,0.004,0.011,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.026,0.022,0.014,0.009,-0.005,-0.006,-0.006,0.007,0.031,0.026,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
370,-0.000,0.001,0.004,0.011,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.014,0.009,-0.005,-0.006,-0.006,0.007,0.032,0.026,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
371,-0.000,0.001,0.004,0.011,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.014,0.009,-0.005,-0.006,-0.006,0.007,0.032,0.026,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
372,-0.000,0.001,0.004,0.011,0.016,0.015,0.011,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.032,0.027,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
373,-0.000,0.001,0.004,0.011,0.016,0.015,0.012,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.032,0.027,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.015,0.010,0.006,0.001,0.003
374,-0.000,0.001,0.004,0.011,0.016,0.015,0.012,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.032,0.027,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.016,0.010,0.006,0.001,0.003
375,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.026,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.032,0.027,0.015,0.008,-0.007,-0.010,-0.015,-0.013,0.009,0.016,0.010,0.006,0.001,0.003
376,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.033,0.027,0.015,0.008,-0.007,-0.011,-0.015,-0.013,0.009,0.016,0.010,0.006,0.001,0.003
377,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.023,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.033,0.027,0.015,0.009,-0.007,-0.011,-0.016,-0.013,0.009,0.016,0.010,0.006,0.001,0.003
378,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.033,0.027,0.015,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.010,0.006,0.001,0.003
379,-0.001,0.001,0.004,0.011,0.016,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.006,-0.006,0.008,0.033,0.028,0.015,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.010,0.006,0.001,0.003
380,-0.001,0.001,0.004,0.011,0.017,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.033,0.028,0.015,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.011,0.006,0.001,0.003
381,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.002,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.033,0.028,0.015,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.011,0.006,0.001,0.003
382,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.028,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.011,0.006,0.001,0.003
383,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.014,0.027,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.028,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.011,0.006,0.001,0.003
384,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.014,0.028,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.028,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.016,0.011,0.006,0.001,0.003
385,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.028,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.006,0.001,0.003
386,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.024,0.015,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.028,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.006,0.001,0.003
387,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.024,0.016,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.007,0.001,0.003
388,-0.001,0.001,0.005,0.011,0.017,0.016,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.007,0.001,0.003
389,-0.001,0.001,0.005,0.011,0.017,0.017,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.009,-0.005,-0.007,-0.006,0.008,0.034,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.007,0.001,0.003
390,-0.001,0.001,0.005,0.011,0.017,0.017,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.008,0.035,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.007,0.001,0.003
391,-0.001,0.001,0.005,0.012,0.017,0.017,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.010,-0.005,-0.007,-0.006,0.008,0.035,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.007,0.001,0.003
392,-0.000,0.001,0.005,0.012,0.017,0.017,0.012,0.008,-0.003,-0.002,0.002,0.015,0.028,0.025,0.016,0.009,-0.005,-0.007,-0.006,0.008,0.035,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.010,0.017,0.011,0.006,0.001,0.003
393,0.000,0.001,0.005,0.012,0.017,0.016,0.012,0.008,-0.002,-0.001,0.003,0.016,0.028,0.024,0.015,0.009,-0.004,-0.006,-0.004,0.011,0.035,0.027,0.015,0.008,-0.007,-0.010,-0.014,-0.011,0.011,0.016,0.010,0.006,0.001,0.003
394,0.001,0.003,0.006,0.012,0.016,0.014,0.010,0.006,-0.000,0.001,0.006,0.018,0.027,0.020,0.012,0.007,-0.002,-0.002,0.002,0.018,0.035,0.023,0.011,0.006,-0.004,-0.005,-0.006,0.001,0.016,0.014,0.007,0.004,0.002,0.003
395,0.003,0.006,0.009,0.013,0.013,0.008,0.004,0.002,0.003,0.007,0.013,0.023,0.023,0.012,0.004,0.001,0.003,0.007,0.016,0.036,0.037,0.014,0.003,0.000,0.002,0.005,0.013,0.029,0.029,0.009,0.001,-0.001,0.002,0.002
396,0.007,0.009,0.013,0.013,0.008,0.000,-0.004,-0.004,0.008,0.014,0.023,0.029,0.017,-0.000,-0.006,-0.006,0.010,0.018,0.036,0.062,0.041,0.001,-0.008,-0.008,0.011,0.020,0.041,0.072,0.052,0.005,-0.007,-0.007,0.003,0.001
397,0.008,0.011,0.013,0.011,0.002,-0.007,-0.010,-0.009,0.011,0.017,0.027,0.031,0.012,-0.009,-0.014,-0.012,0.014,0.025,0.049,0.079,0.046,-0.005,-0.015,-0.012,0.016,0.030,0.061,0.107,0.076,0.008,-0.009,-0.010,0.004,0.001
398,0.005,0.007,0.008,0.006,-0.002,-0.008,-0.010,-0.008,0.007,0.012,0.019,0.022,0.007,-0.009,-0.012,-0.010,0.011,0.020,0.041,0.070,0.045,-0.001,-0.011,-0.010,0.014,0.027,0.056,0.106,0.085,0.018,-0.004,-0.006,0.003,0.001
399,-0.000,0.000,-0.000,-0.001,-0.003,-0.005,-0.005,-0.004,0.001,0.002,0.005,0.007,0.003,-0.003,-0.004,-0.004,0.003,0.007,0.017,0.036,0.033,0.008,-0.001,-0.002,0.006,0.012,0.029,0.065,0.067,0.024,0.006,0.001,0.001,0.000
400,-0.004,-0.005,-0.006,-0.005,-0.002,0.000,0.001,0.001,-0.004,-0.006,-0.008,-0.006,0.000,0.004,0.003,0.002,-0.004,-0.006,-0.007,-0.001,0.014,0.013,0.007,0.004,-0.003,-0.003,-0.001,0.012,0.030,0.021,0.011,0.006,-0.001,0.000
401,-0.004,-0.005,-0.006,-0.003,0.002,0.005,0.006,0.005,-0.006,-0.008,-0.011,-0.008,0.003,0.010,0.009,0.006,-0.007,-0.011,-0.018,-0.019,0.003,0.015,0.011,0.007,-0.007,-0.012,-0.020,-0.024,-0.000,0.013,0.011,0.007,-0.001,0.000
402,-0.003,-0.003,-0.002,0.002,0.008,0.010,0.009,0.007,-0.005,-0.006,-0.007,-0.001,0.012,0.016,0.012,0.008,-0.007,-0.011,-0.017,-0.016,0.008,0.018,0.013,0.008,-0.008,-0.014,-0.024,-0.033,-0.010,0.010,0.010,0.007,-0.000,0.001
403,-0.001,-0.000,0.002,0.008,0.014,0.015,0.011,0.008,-0.003,-0.004,-0.002,0.008,0.021,0.021,0.015,0.009,-0.006,-0.009,-0.012,-0.006,0.019,0.023,0.014,0.009,-0.008,-0.014,-0.023,-0.031,-0.008,0.009,0.009,0.006,0.001,0.002
404,-0.000,0.001,0.005,0.012,0.017,0.017,0.013,0.009,-0.003,-0.002,0.002,0.013,0.027,0.025,0.016,0.010,-0.006,-0.008,-0.009,0.001,0.028,0.026,0.016,0.009,-0.008,-0.013,-0.021,-0.026,-0.003,0.012,0.010,0.006,0.001,0.003
405,0.000,0.002,0.006,0.013,0.019,0.018,0.014,0.009,-0.002,-0.001,0.003,0.016,0.029,0.026,0.017,0.010,-0.005,-0.007,-0.008,0.004,0.030,0.027,0.016,0.009,-0.008,-0.013,-0.021,-0.026,-0.004,0.011,0.009,0.006,0.001,0.003
406,0.000,0.001,0.006,0.013,0.019,0.018,0.013,0.009,-0.002,-0.001,0.003,0.016,0.030,0.026,0.017,0.010,-0.005,-0.007,-0.007,0.006,0.032,0.028,0.016,0.009,-0.008,-0.012,-0.019,-0.022,0.001,0.013,0.010,0.006,0.001,0.003
407,0.000,0.002,0.006,0.014,0.020,0.019,0.014,0.010,-0.002,-0.001,0.004,0.017,0.031,0.027,0.017,0.011,-0.005,-0.007,-0.008,0.004,0.030,0.027,0.016,0.009,-0.008,-0.013,-0.022,-0.028,-0.006,0.010,0.009,0.006,0.001,0.003
408,0.000,0.002,0.006,0.014,0.019,0.018,0.013,0.009,-0.002,-0.001,0.004,0.018,0.031,0.026,0.016,0.010,-0.005,-0.006,-0.004,0.011,0.037,0.029,0.016,0.009,-0.007,-0.011,-0.016,-0.014,0.008,0.015,0.010,0.006,0.002,0.003
409,0.012,0.018,0.027,0.033,0.029,0.016,0.006,0.001,0.012,0.022,0.040,0.060,0.051,0.020,0.003,-0.002,0.012,0.024,0.051,0.096,0.080,0.019,-0.002,-0.006,0.010,0.020,0.043,0.079,0.059,0.007,-0.007,-0.008,0.006,0.005
410,0.044,0.055,0.057,0.027,-0.037,-0.082,-0.085,-0.069,0.065,0.097,0.135,0.118,-0.023,-0.122,-0.117,-0.087,0.089,0.152,0.270,0.378,0.119,-0.121,-0.126,-0.091,0.105,0.185,0.350,0.563,0.324,-0.027,-0.088,-0.073,0.015,-0.004
411,0.062,0.066,0.040,-0.052,-0.179,-0.230,-0.201,-0.151,0.104,0.141,0.154,0.030,-0.257,-0.349,-0.269,-0.183,0.153,0.243,0.379,0.379,-0.165,-0.397,-0.290,-0.187,0.187,0.311,0.541,0.747,0.242,-0.204,-0.210,-0.148,0.008,-0.028
412,0.037,0.016,-0.055,-0.200,-0.338,-0.344,-0.265,-0.184,0.083,0.085,0.017,-0.244,-0.566,-0.530,-0.347,-0.214,0.137,0.188,0.204,-0.087,-0.728,-0.650,-0.373,-0.212,0.176,0.266,0.387,0.318,-0.279,-0.430,-0.279,-0.168,-0.020,-0.057
413,-0.072,-0.102,-0.132,-0.124,-0.048,0.035,0.069,0.068,-0.097,-0.158,-0.254,-0.313,-0.151,0.050,0.103,0.093,-0.123,-0.225,-0.443,-0.743,-0.464,0.014,0.115,0.102,-0.139,-0.258,-0.524,-0.935,-0.677,-0.081,0.077,0.084,-0.035,-0.012
414,-0.030,-0.035,-0.031,-0.001,0.049,0.078,0.073,0.058,-0.046,-0.067,-0.086,-0.057,0.056,0.116,0.099,0.071,-0.066,-0.109,-0.186,-0.236,-0.027,0.121,0.106,0.073,-0.079,-0.137,-0.251,-0.384,-0.194,0.042,0.073,0.057,-0.008,0.007
415,0.000,-0.000,-0.001,-0.003,-0.004,-0.003,-0.002,-0.002,0.000,0.000,-0.001,-0.004,-0.007,-0.005,-0.003,-0.002,0.001,0.001,0.000,-0.004,-0.009,-0.006,-0.003,-0.002,0.001,0.002,0.002,-0.000,-0.005,-0.004,-0.002,-0.001,-0.000,-0.001
416,-0.002,-0.001,0.003,0.010,0.018,0.018,0.014,0.010,-0.004,-0.005,-0.003,0.009,0.026,0.027,0.018,0.012,-0.008,-0.012,-0.017,-0.010,0.022,0.028,0.018,0.011,-0.011,-0.017,-0.030,-0.040,-0.012,0.011,0.011,0.008,0.001,0.003
417,0.001,0.002,0.005,0.009,0.011,0.009,0.006,0.004,0.000,0.002,0.006,0.013,0.018,0.013,0.007,0.004,-0.001,0.000,0.003,0.014,0.024,0.014,0.007,0.003,-0.002,-0.002,-0.002,0.003,0.011,0.008,0.004,0.002,0.001,0.002
418,-0.001,0.001,0.004,0.010,0.016,0.015,0.012,0.008,-0.002,-0.002,0.001,0.012,0.024,0.022,0.014,0.009,-0.005,-0.007,-0.008,0.001,0.026,0.024,0.014,0.008,-0.007,-0.012,-0.018,-0.021,-0.000,0.011,0.009,0.006,0.001,0.002
419,0.000,0.002,0.005,0.009,0.012,0.011,0.008,0.005,-0.001,0.000,0.004,0.013,0.020,0.016,0.009,0.005,-0.002,-0.002,-0.001,0.010,0.025,0.017,0.009,0.005,-0.004,-0.005,-0.007,-0.004,0.008,0.009,0.005,0.003,0.001,0.002
420,-0.000,0.001,0.004,0.009,0.014,0.013,0.010,0.006,-0.002,-0.001,0.002,0.012,0.022,0.019,0.012,0.007,-0.004,-0.005,-0.005,0.005,0.025,0.021,0.012,0.007,-0.006,-0.009,-0.013,-0.013,0.004,0.011,0.007,0.005,0.001,0.002
421,0.000,0.002,0.004,0.009,0.012,0.011,0.008,0.005,-0.001,0.000,0.003,0.012,0.019,0.016,0.009,0.005,-0.002,-0.003,-0.001,0.009,0.024,0.017,0.009,0.005,-0.004,-0.005,-0.008,-0.005,0.008,0.009,0.006,0.003,0.001,0.002
422,0.000,0.001,0.004,0.008,0.011,0.010,0.007,0.005,-0.001,-0.000,0.003,0.011,0.019,0.015,0.009,0.005,-0.003,-0.003,-0.002,0.008,0.023,0.017,0.009,0.005,-0.004,-0.006,-0.008,-0.006,0.007,0.009,0.006,0.003,0.001,0.002
423,0.000,0.001,0.004,0.007,0.009,0.008,0.005,0.004,-0.000,0.001,0.003,0.010,0.015,0.012,0.007,0.004,-0.001,-0.001,0.001,0.010,0.020,0.013,0.006,0.003,-0.002,-0.003,-0.004,0.000,0.009,0.008,0.004,0.002,0.001,0.001
424,0.001,0.001,0.003,0.005,0.006,0.005,0.003,0.002,0.000,0.001,0.003,0.008,0.011,0.008,0.004,0.002,-0.000,0.000,0.002,0.010,0.016,0.009,0.004,0.002,-0.001,-0.001,-0.000,0.004,0.009,0.006,0.003,0.001,0.001,0.001
425,0.001,0.001,0.002,0.003,0.003,0.002,0.001,0.000,0.001,0.002,0.003,0.006,0.005,0.002,0.001,0.000,0.001,0.002,0.005,0.010,0.010,0.003,0.000,-0.000,0.001,0.002,0.005,0.010,0.009,0.003,0.000,-0.000,0.001,0.000
426,0.001,0.001,0.001,-0.000,-0.002,-0.003,-0.003,-0.002,0.002,0.003,0.003,0.002,-0.003,-0.005,-0.004,-0.003,0.003,0.004,0.007,0.010,0.001,-0.005,-0.004,-0.003,0.003,0.006,0.010,0.016,0.009,-0.001,-0.003,-0.002,0.000,-0.000
427,0.001,0.001,-0.001,-0.005,-0.009,-0.010,-0.008,-0.006,0.003,0.003,0.003,-0.003,-0.013,-0.014,-0.010,-0.006,0.005,0.007,0.010,0.008,-0.010,-0.015,-0.010,-0.006,0.006,0.010,0.017,0.023,0.008,-0.006,-0.006,-0.004,-0.000,-0.001
428,0.001,0.000,-0.003,-0.010,-0.017,-0.017,-0.013,-0.009,0.004,0.004,0.001,-0.010,-0.025,-0.025,-0.016,-0.010,0.007,0.010,0.013,0.005,-0.024,-0.026,-0.016,-0.010,0.009,0.014,0.024,0.030,0.006,-0.011,-0.010,-0.007,-0.001,-0.003
429,0.001,-0.001,-0.006,-0.016,-0.025,-0.025,-0.019,-0.013,0.004,0.004,-0.001,-0.018,-0.040,-0.036,-0.023,-0.014,0.009,0.012,0.015,0.000,-0.040,-0.038,-0.023,-0.013,0.012,0.019,0.030,0.036,0.003,-0.017,-0.014,-0.009,-0.002,-0.004
430,0.001,-0.002,-0.009,-0.023,-0.035,-0.033,-0.025,-0.017,0.005,0.004,-0.003,-0.028,-0.055,-0.048,-0.030,-0.019,0.010,0.014,0.016,-0.007,-0.057,-0.051,-0.030,-0.017,0.015,0.023,0.036,0.040,-0.002,-0.024,-0.018,-0.011,-0.002,-0.005
431,0.000,-0.003,-0.013,-0.030,-0.044,-0.041,-0.030,-0.020,0.005,0.004,-0.007,-0.038,-0.070,-0.059,-0.037,-0.022,0.012,0.016,0.015,-0.015,-0.075,-0.063,-0.035,-0.020,0.017,0.026,0.040,0.042,-0.008,-0.030,-0.021,-0.013,-0.003,-0.007
432,-0.000,-0.005,-0.017,-0.036,-0.052,-0.048,-0.034,-0.023,0.005,0.003,-0.010,-0.047,-0.083,-0.069,-0.042,-0.025,0.012,0.016,0.014,-0.025,-0.092,-0.073,-0.040,-0.022,0.018,0.028,0.042,0.040,-0.014,-0.035,-0.024,-0.014,-0.004,-0.008
433,-0.001,-0.007,-0.020,-0.042,-0.058,-0.052,-0.037,-0.025,0.005,0.001,-0.014,-0.056,-0.093,-0.075,-0.045,-0.026,0.012,0.015,0.010,-0.035,-0.106,-0.080,-0.043,-0.023,0.019,0.028,0.041,0.036,-0.021,-0.038,-0.025,-0.015,-0.005,-0.009
434,-0.002,-0.008,-0.022,-0.045,-0.061,-0.055,-0.038,-0.025,0.004,-0.001,-0.018,-0.062,-0.099,-0.078,-0.046,-0.027,0.012,0.014,0.006,-0.044,-0.115,-0.084,-0.043,-0.023,0.018,0.027,0.038,0.030,-0.027,-0.040,-0.025,-0.015,-0.006,-0.010
435,-0.003,-0.009,-0.024,-0.047,-0.062,-0.054,-0.037,-0.024,0.003,-0.002,-0.021,-0.065,-0.101,-0.078,-0.045,-0.026,0.010,0.011,0.002,-0.051,-0.119,-0.083,-0.042,-0.022,0.017,0.025,0.033,0.021,-0.032,-0.040,-0.024,-0.014,-0.006,-0.010
436,-0.004,-0.010,-0.024,-0.046,-0.059,-0.051,-0.035,-0.022,0.001,-0.004,-0.022,-0.065,-0.097,-0.073,-0.041,-0.023,0.008,0.008,-0.003,-0.055,-0.116,-0.078,-0.038,-0.020,0.015,0.021,0.026,0.012,-0.035,-0.037,-0.021,-0.012,-0.006,-0.009
437,-0.004,-0.010,-0.023,-0.042,-0.054,-0.045,-0.031,-0.019,0.000,-0.005,-0.023,-0.062,-0.089,-0.065,-0.036,-0.020,0.006,0.005,-0.007,-0.057,-0.108,-0.069,-0.033,-0.017,0.012,0.016,0.019,0.003,-0.036,-0.033,-0.018,-0.010,-0.006,-0.008
438,-0.004,-0.010,-0.021,-0.037,-0.046,-0.038,-0.025,-0.016,-0.001,-0.006,-0.022,-0.056,-0.077,-0.054,-0.030,-0.016,0.004,0.002,-0.010,-0.055,-0.095,-0.058,-0.026,-0.013,0.009,0.011,0.012,-0.004,-0.035,-0.028,-0.014,-0.007,-0.005,-0.007
439,-0.004,-0.009,-0.018,-0.031,-0.037,-0.030,-0.019,-0.012,-0.002,-0.006,-0.020,-0.047,-0.062,-0.043,-0.022,-0.012,0.002,-0.000,-0.012,-0.050,-0.079,-0.045,-0.020,-0.009,0.006,0.007,0.005,-0.010,-0.032,-0.022,-0.010,-0.005,-0.005,-0.006
440,-0.004,-0.008,-0.015,-0.024,-0.028,-0.022,-0.014,-0.008,-0.002,-0.006,-0.017,-0.038,-0.047,-0.031,-0.015,-0.008,0.000,-0.002,-0.013,-0.043,-0.061,-0.032,-0.013,-0.006,0.003,0.003,-0.001,-0.014,-0.027,-0.016,-0.006,-0.003,-0.004,-0.004
441,-0.003,-0.006,-0.011,-0.017,-0.019,-0.014,-0.008,-0.005,-0.003,-0.006,-0.014,-0.028,-0.032,-0.019,-0.009,-0.004,-0.001,-0.004,-0.013,-0.035,-0.043,-0.020,-0.007,-0.003,0.001,-0.001,-0.005,-0.017,-0.022,-0.010,-0.003,-0.001,-0.003,-0.003
442,-0.003,-0.005,-0.008,-0.011,-0.010,-0.007,-0.003,-0.002,-0.003,-0.005,-0.011,-0.018,-0.018,-0.009,-0.003,-0.001,-0.002,-0.005,-0.012,-0.026,-0.027,-0.010,-0.002,0.000,-0.001,-0.003,-0.008,-0.017,-0.016,-0.005,0.000,0.001,-0.002,-0.002
443,-0.002,-0.003,-0.005,-0.005,-0.004,-0.001,0.000,0.001,-0.003,-0.004,-0.008,-0.010,-0.007,-0.001,0.001,0.002,-0.003,-0.005,-0.011,-0.019,-0.013,-0.001,0.002,0.002,-0.003,-0.005,-0.010,-0.017,-0.011,-0.000,0.002,0.002,-0.001,-0.001
444,-0.002,-0.002,-0.002,-0.001,0.002,0.004,0.003,0.003,-0.003,-0.004,-0.005,-0.004,0.002,0.006,0.005,0.003,-0.003,-0.006,-0.009,-0.012,-0.001,0.006,0.005,0.004,-0.004,-0.007,-0.012,-0.016,-0.007,0.003,0.004,0.003,-0.000,0.000
445,-0.001,-0.001,0.000,0.003,0.006,0.007,0.006,0.004,-0.002,-0.003,-0.003,0.002,0.010,0.011,0.007,0.005,-0.004,-0.006,-0.008,-0.006,0.008,0.012,0.008,0.005,-0.005,-0.007,-0.012,-0.015,-0.003,0.006,0.005,0.004,0.000,0.001
446,-0.001,-0.000,0.001,0.005,0.009,0.010,0.007,0.005,-0.002,-0.003,-0.001,0.005,0.015,0.014,0.009,0.006,-0.004,-0.006,-0.007,-0.002,0.015,0.015,0.009,0.005,-0.005,-0.008,-0.012,-0.014,-0.000,0.008,0.006,0.004,0.000,0.001
447,-0.001,0.000,0.002,0.007,0.011,0.011,0.008,0.006,-0.002,-0.002,0.000,0.008,0.018,0.016,0.010,0.006,-0.004,-0.006,-0.007,0.001,0.019,0.018,0.010,0.006,-0.005,-0.008,-0.013,-0.013,0.002,0.009,0.007,0.004,0.001,0.002
448,-0.001,0.000,0.003,0.008,0.013,0.012,0.009,0.006,-0.002,-0.002,0.001,0.010,0.021,0.018,0.011,0.007,-0.004,-0.005,-0.006,0.003,0.022,0.019,0.011,0.006,-0.005,-0.008,-0.013,-0.013,0.003,0.010,0.007,0.004,0.001,0.002
449,-0.000,0.001,0.004,0.009,0.014,0.013,0.010,0.006,-0.002,-0.002,0.001,0.011,0.022,0.019,0.012,0.007,-0.004,-0.005,-0.006,0.004,0.024,0.020,0.011,0.006,-0.005,-0.008,-0.013,-0.012,0.004,0.010,0.007,0.004,0.001,0.002
450,-0.000,0.001,0.004,0.009,0.014,0.013,0.010,0.007,-0.002,-0.002,0.002,0.012,0.023,0.019,0.012,0.007,-0.004,-0.005,-0.005,0.005,0.025,0.021,0.012,0.006,-0.005,-0.008,-0.012,-0.012,0.004,0.010,0.007,0.004,0.001,0.002
451,-0.000,0.001,0.004,0.010,0.014,0.014,0.010,0.007,-0.002,-0.001,0.002,0.012,0.023,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.005,0.026,0.021,0.012,0.006,-0.006,-0.008,-0.012,-0.012,0.004,0.010,0.007,0.004,0.001,0.002
452,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.001,0.002,0.013,0.024,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.006,0.026,0.021,0.012,0.007,-0.006,-0.008,-0.012,-0.012,0.005,0.010,0.007,0.004,0.001,0.002
453,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.001,0.002,0.013,0.024,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.006,0.026,0.021,0.012,0.007,-0.005,-0.008,-0.012,-0.012,0.005,0.010,0.007,0.004,0.001,0.002
454,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.001,0.002,0.013,0.024,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.006,0.026,0.021,0.012,0.007,-0.005,-0.008,-0.012,-0.011,0.005,0.010,0.007,0.004,0.001,0.002
455,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.001,0.002,0.013,0.024,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.006,0.026,0.021,0.012,0.006,-0.005,-0.008,-0.012,-0.011,0.005,0.010,0.007,0.004,0.001,0.002
456,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.001,0.002,0.013,0.024,0.020,0.012,0.007,-0.004,-0.005,-0.005,0.006,0.026,0.021,0.012,0.006,-0.005,-0.008,-0.012,-0.011,0.005,0.010,0.007,0.004,0.001,0.002
